# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Activity_Subject","anchor_id":"FILE1_Z2_XY0","type":4,"desc":"Behavior of subject","options":{"0":"sniff_other","1":"sniff_air","2":"rest","3":"looking","4":"grooming"},"default_option_id":""},"2":{"aname":"Activity_Stimuli","anchor_id":"FILE1_Z2_XY0","type":4,"desc":"Behavior of stimuli","options":{"0":"sniff_other","1":"sniff_air","2":""},"default_option_id":""},"3":{"aname":"Sniff_Location_Subject","anchor_id":"FILE1_Z2_XY0","type":4,"desc":"Location subject is sniffing","options":{"0":"back","1":"neck","2":"left_armpit","3":"right_armpit","4":"left_thigh","5":"right_thigh","6":"anogenital","7":"air","8":"unclear"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"2_smBdbrw8","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[20.481,21.37726]","[]","{""3"":""8""}"
"2_dkTUwUWN","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[21.377,22.60642]","[]","{""3"":""6""}"
"2_3XPtX6Gw","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[25.19,29.08559]","[]","{""3"":""3""}"
"2_d9PMjNt6","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[29.086,46.41892]","[]","{""3"":""0""}"
"2_6xRK5fia","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[47.41892,48.52309]","[]","{""3"":""0""}"
"2_0FsOdfYi","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[77.89809,89.93976]","[]","{""3"":""1""}"
"2_5Auh09Yq","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[94.609,98.00226]","[]","{""3"":""0""}"
"2_NMgnh2Wx","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[98.62726,99.85642]","[]","{""3"":""6""}"
"2_f3Q5tXIZ","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[99.856,105.48142]","[]","{""3"":""1""}"
"2_Tg5UbCva","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[105.481,110.10642]","[]","{""3"":""2""}"
"3_XEt2DCXE","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[9.023,14.39809]","[]","{""3"":""0""}"
"3_OurPJxSX","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[15.794,17.37726]","[]","{""3"":""1""}"
"3_1ksShRku","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[17.377,18.79392]","[]","{""3"":""2""}"
"3_01jVrjaC","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[18.794,20.71059]","[]","{""3"":""1""}"
"3_nOiuZEZn","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[20.711,21.54392]","[]","{""3"":""2""}"
"3_B8edyFKa","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[23.16892,24.87726]","[]","{""3"":""8""}"
"3_O4VOlzTf","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[24.877,28.75226]","[]","{""3"":""0""}"
"3_JuHdedF1","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[28.752,29.56476]","[]","{""3"":""3""}"
"3_Ner4WIpf","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[29.565,39.16892]","[]","{""3"":""0""}"
"3_R3Xla0EA","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[40.502,42.16892]","[]","{""3"":""6""}"
"3_FGBCllxf","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[55.16892,57.14809]","[]","{""3"":""1""}"
"3_sQHAmVXb","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[57.148,61.31476]","[]","{""3"":""3""}"
"3_TY7lI6dX","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[61.315,62.39809]","[]","{""3"":""1""}"
"3_H8wY5LF8","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[62.398,63.02309]","[]","{""3"":""3""}"
"3_tbzx7VvR","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[63.023,63.77309]","[]","{""3"":""0""}"
"4_OtIrvivj","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[39.783,40.783]","[]","{""3"":""0""}"
"4_T2ahYeyY","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[40.783,41.43976]","[]","{""3"":""1""}"
"4_ypcNrIX3","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[41.44,44.35642]","[]","{""3"":""8""}"
"4_jRSrKbCC","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[44.356,49.35642]","[]","{""3"":""8""}"
"4_MOz6pOhG","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[49.356,67.41892]","[]","{""3"":""0""}"
"4_8EJXKDxF","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[68.877,73.31476]","[]","{""3"":""8""}"
"4_W5vHXRDP","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[73.315,77.27309]","[]","{""3"":""3""}"
"4_MEKPqt8q","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[77.273,78.58559]","[]","{""3"":""1""}"
"4_FN5rOPN9","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[78.586,80.08559]","[]","{""3"":""8""}"
"4_OmyaQYRF","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[80.086,81.43976]","[]","{""3"":""0""}"
"4_WDXXiv6K","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[81.44,85.60642]","[]","{""3"":""1""}"
"4_ruRHGBu9","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[85.606,89.39809]","[]","{""3"":""3""}"
"4_GcxWvL7V","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[89.398,94.02309]","[]","{""3"":""0""}"
"4_G3k7LXw3","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[94.023,102.25226]","[]","{""3"":""3""}"
"4_RygtVve5","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[102.252,104.68976]","[]","{""3"":""8""}"
"4_lHOjSyjy","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[104.69,110.62726]","[]","{""3"":""0""}"
"4_yZYMoocl","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[115.04392,117.62726]","[]","{""3"":""0""}"
"4_YmcoYj3Z","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[123.10642,128.48142]","[]","{""3"":""6""}"
"5_v3KqZQ6u","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[7.87726,12.18976]","[]","{""3"":""0""}"
"5_tDMfL0R3","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[12.19,14.48142]","[]","{""3"":""1""}"
"5_oEWky38H","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[14.481,16.56476]","[]","{""3"":""2""}"
"5_I0XaVckQ","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[20.065,23.35642]","[]","{""3"":""0""}"
"5_kN8EfG0n","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[23.716,24.60642]","[]","{""3"":""0""}"
"5_8pSuzN52","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[24.606,28.31476]","[]","{""3"":""2""}"
"5_XxGKf2Xv","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[33.02309,37.00226]","[]","{""3"":""0""}"
"5_mDyQXQ6Z","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[104.498,107.10642]","[]","{""3"":""0""}"
"5_2Ag8Op9k","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[107.106,113.12726]","[]","{""3"":""6""}"
"5_NlCl8IUd","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[127.23142,133.21059]","[]","{""3"":""1""}"
"5_x1llj2TF","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[138.21059,140.41892]","[]","{""3"":""1""}"
"6_f0PKnhd1","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",0,"[5.58559,6.46059]","[]","{""3"":""8""}"
"6_wXKEq0pH","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",0,"[6.461,10.54392]","[]","{""3"":""1""}"
"6_GwSvBeyo","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",0,"[11.83559,14.58559]","[]","{""3"":""1""}"
"6_tRsdaXGk","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",0,"[14.586,15.93976]","[]","{""3"":""8""}"
"6_XfXeGniI","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",0,"[15.94,22.89809]","[]","{""3"":""2""}"
"6_PxKJQT7R","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",0,"[22.898,25.00226]","[]","{""3"":""0""}"
"6_GfEnmPln","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",0,"[25.002,25.58559]","[]","{""3"":""8""}"
"6_Esopi6e1","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",0,"[25.586,26.33559]","[]","{""3"":""3""}"
"6_dPXiugcH","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",0,"[26.336,28.21059]","[]","{""3"":""2""}"
"6_e7Uoj9Hk","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",0,"[28.211,33.08559]","[]","{""3"":""8""}"
"6_EYf4WpRr","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",0,"[33.086,34.89809]","[]","{""3"":""1""}"
"6_rC1sLkTM","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",0,"[34.898,39.43976]","[]","{""3"":""8""}"
"6_IdhiexyO","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",0,"[46.398,47.77309]","[]","{""3"":""6""}"
"7_9pMg3KuR","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[10.39809,11.83559]","[]","{""3"":""1""}"
"7_ue39wz2k","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[11.836,16.68976]","[]","{""3"":""0""}"
"7_aJj5ZWEJ","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[16.69,18.41892]","[]","{""3"":""2""}"
"7_blyybZib","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[18.419,19.419]","[]","{""3"":""3""}"
"7_WPBvO06q","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[19.419,20.87726]","[]","{""3"":""6""}"
"7_UdAV3laX","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[27.68976,29.35642]","[]","{""3"":""2""}"
"7_mfUXmGnk","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[29.356,32.46059]","[]","{""3"":""0""}"
"7_8jXv9KDW","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[32.461,33.48142]","[]","{""3"":""1""}"
"7_F4GHskCr","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[33.481,34.52309]","[]","{""3"":""6""}"
"7_JXFuDEWv","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[37.91892,42.83559]","[]","{""3"":""0""}"
"7_cD7K9fhS","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[42.836,45.58559]","[]","{""3"":""1""}"
"7_VrEXxU62","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[45.586,46.21059]","[]","{""3"":""3""}"
"7_0vCAkOBl","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[50.39809,53.06476]","[]","{""3"":""0""}"
"7_eLudvgXy","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[76.89809,79.00226]","[]","{""3"":""0""}"
"8_KjJPr1M3","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",0,"[12.25226,14.00226]","[]","{""3"":""0""}"
"8_iBamBXvh","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",0,"[14.002,20.10642]","[]","{""3"":""6""}"
"8_2WsO70jx","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",0,"[20.106,22.66892]","[]","{""3"":""0""}"
"8_b11KSV0s","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",0,"[22.669,28.04392]","[]","{""3"":""6""}"
"8_apXt3vz8","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",0,"[29.801,30.73142]","[]","{""3"":""0""}"
"8_jKI0XTLD","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",0,"[32.02309,33.33559]","[]","{""3"":""8""}"
"8_VLZXEzQO","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",0,"[33.336,41.87726]","[]","{""3"":""2""}"
"8_dhmv7o3M","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",0,"[41.877,44.98142]","[]","{""3"":""1""}"
"8_CPR8SzAI","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",0,"[44.981,47.62726]","[]","{""3"":""0""}"
"8_Tdixjw87","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",0,"[49.455,52.52309]","[]","{""3"":""2""}"
"9_Xyd6TrQM","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[9.27309,12.04392]","[]","{""3"":""0""}"
"9_0ielFUlW","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[13.66892,14.58559]","[]","{""3"":""2""}"
"9_pBWZ06wm","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[14.586,17.02309]","[]","{""3"":""0""}"
"9_KglulDaJ","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[17.023,18.62726]","[]","{""3"":""6""}"
"9_yoRie78V","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[27.50226,29.33559]","[]","{""3"":""1""}"
"9_Atv8PvFX","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[29.336,32.21059]","[]","{""3"":""2""}"
"9_oZUqCR3y","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[35.06476,37.14809]","[]","{""3"":""8""}"
"9_tjvDz99P","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[73.93976,77.96059]","[]","{""3"":""8""}"
"10_QODd8j1P","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",0,"[11.00226,12.767]","[]","{""3"":""8""}"
"10_DCUfnCLv","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",0,"[12.767,13.58559]","[]","{""3"":""0""}"
"10_S14v7aXP","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",0,"[18.58559,24.46059]","[]","{""3"":""0""}"
"10_mJEPlUzO","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",0,"[16.002,16.68976]","[]","{""3"":""2""}"
"10_WgNdxYTb","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",0,"[49.33559,54.58559]","[]","{""3"":""1""}"
"10_Jojwsqt1","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",0,"[96.948,103.73142]","[]","{""3"":""1""}"
"11_6A7hs5oR","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[13.77309,14.89809]","[]","{""3"":""1""}"
"11_lh2PZH8B","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[14.898,16.33559]","[]","{""3"":""0""}"
"11_mjv2Newu","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[16.336,25.00226]","[]","{""3"":""1""}"
"11_6wAT2HKk","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[25.002,25.75226]","[]","{""3"":""2""}"
"11_wCRWkVLL","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[25.752,28.29392]","[]","{""3"":""6""}"
"11_lTyLVLgV","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[28.294,28.77309]","[]","{""3"":""8""}"
"11_sznZXjjJ","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[28.773,31.23142]","[]","{""3"":""1""}"
"11_MpmjoD3o","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[31.231,33.58559]","[]","{""3"":""3""}"
"11_74EsdNGI","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[35.668,38.48142]","[]","{""3"":""3""}"
"11_E0ZSIMgr","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[38.481,40.60642]","[]","{""3"":""6""}"
"11_1hMaLLzr","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[42.586,43.586]","[]","{""3"":""8""}"
"11_aHZFQr6Q","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[43.586,52.81476]","[]","{""3"":""1""}"
"11_FEIjmufG","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[52.815,56.39809]","[]","{""3"":""2""}"
"11_iZ6b0DkG","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[56.398,59.31476]","[]","{""3"":""1""}"
"11_VKlImGoO","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[59.315,60.68976]","[]","{""3"":""3""}"
"11_NMFF2MxC","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[60.69,64.04392]","[]","{""3"":""6""}"
"11_o3s6WCZ3","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[64.044,65.044]","[]","{""3"":""8""}"
"11_byeAxNPr","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[65.044,66.02309]","[]","{""3"":""1""}"
"11_5xqKcGtf","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[66.023,72.21059]","[]","{""3"":""6""}"
"11_d5LJIxrb","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[72.211,80.64809]","[]","{""3"":""2""}"
"1_1GBMWYGB","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[71.41892,137.52309]","[]","{""1"":""2""}"
"1_tRgTRfJV","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[65.773,71.27309]","[]","{""1"":""3""}"
"1_R7RJOZgL","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[56.118,57.118]","[]","{""3"":""8""}"
"1_V8jCspD9","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[52.544,54.85642]","[]","{""1"":""2""}"
"1_LENXuOdL","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[13.961,16.08559]","[]","{""3"":""8""}"
"1_RZuiXhIk","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[21.356,22.356]","[]","{""3"":""8""}"
"2_hfrTfc9c","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[22.606,25.21059]","[]","{""1"":""3""}"
"2_qBWJEpVM","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[46.419,47.419]","[]","{""1"":""3""}"
"2_VNbRHRjw","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[49.544,77.00226]","[]","{""1"":""2""}"
"2_FISTaY75","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[110.875,114.91892]","[]","{""1"":""2""}"
"2_XBSMLai4","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[114.919,118.58559]","[]","{""1"":""4""}"
"2_a9iDIvuh","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[118.586,121.29392]","[]","{""1"":""2""}"
"2_FQFViHLU","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[121.294,180.39809]","[]","{""1"":""4""}"
"2_e3PcXetr","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[180.398,181.41892]","[]","{""1"":""2""}"
"2_PEoXGbx3","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[181.419,188.21059]","[]","{""1"":""0""}"
"2_kc3P5Eaf","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[188.523,194.06476]","[]","{""1"":""2""}"
"3_YMbPG2JJ","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[42.827,49.68976]","[]","{""1"":""2""}"
"3_9XaGyBOS","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[49.711,52.02309]","[]","{""1"":""4""}"
"3_T8WBAVv7","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[52.023,54.98142]","[]","{""1"":""2""}"
"3_WXAXFATX","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[65.221,66.77309]","[]","{""1"":""2""}"
"3_M1lhcYJT","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[149.125,153.25226]","[]","{""1"":""0""}"
"3_mgdqFDcd","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[153.252,158.73142]","[]","{""1"":""2""}"
"3_KbKqBmrx","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[164.815,167.35642]","[]","{""1"":""2""}"
"3_6d9BP7qq","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[168.761,170.60642]","[]","{""1"":""2""}"
"3_Um6G3PSa","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",0,"[173.673,187.96059]","[]","{""1"":""2""}"
"4_poOxmnSU","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[111.498,113.33559]","[]","{""1"":""2""}"
"4_hB1XFZzH","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[118.268,122.23142]","[]","{""1"":""2""}"
"4_XauHoHMh","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[123.06476,128.68976]","[]","{""1"":""0""}"
