# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"4_jRSrKbCC","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",44.356,49.35642,"{""Sniff_Location_Subject"":""8""}"
"4_MOz6pOhG","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",49.356,67.41892,"{""Sniff_Location_Subject"":""0""}"
"4_8EJXKDxF","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",68.877,73.31476,"{""Sniff_Location_Subject"":""8""}"
"4_W5vHXRDP","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",73.315,77.27309,"{""Sniff_Location_Subject"":""3""}"
"4_MEKPqt8q","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",77.273,78.58559,"{""Sniff_Location_Subject"":""1""}"
"4_FN5rOPN9","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",78.586,80.08559,"{""Sniff_Location_Subject"":""8""}"
"4_OmyaQYRF","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",80.086,81.43976,"{""Sniff_Location_Subject"":""0""}"
"4_WDXXiv6K","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",81.44,85.60642,"{""Sniff_Location_Subject"":""1""}"
"4_ruRHGBu9","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",85.606,89.39809,"{""Sniff_Location_Subject"":""3""}"
"4_GcxWvL7V","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",89.398,94.02309,"{""Sniff_Location_Subject"":""0""}"
"4_G3k7LXw3","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",94.023,102.25226,"{""Sniff_Location_Subject"":""3""}"
"4_RygtVve5","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",102.252,104.68976,"{""Sniff_Location_Subject"":""8""}"
"4_lHOjSyjy","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",104.69,110.62726,"{""Sniff_Location_Subject"":""0""}"
"4_yZYMoocl","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",115.04392,117.62726,"{""Sniff_Location_Subject"":""0""}"
"4_YmcoYj3Z","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",123.10642,128.48142,"{""Sniff_Location_Subject"":""6""}"
"5_v3KqZQ6u","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",7.87726,12.18976,"{""Sniff_Location_Subject"":""0""}"
"5_tDMfL0R3","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",12.19,14.48142,"{""Sniff_Location_Subject"":""1""}"
"5_oEWky38H","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",14.481,16.56476,"{""Sniff_Location_Subject"":""2""}"
"5_I0XaVckQ","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",20.065,23.35642,"{""Sniff_Location_Subject"":""0""}"
"5_kN8EfG0n","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",23.716,24.60642,"{""Sniff_Location_Subject"":""0""}"
"5_8pSuzN52","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",24.606,28.31476,"{""Sniff_Location_Subject"":""2""}"
"5_XxGKf2Xv","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",33.02309,37.00226,"{""Sniff_Location_Subject"":""0""}"
"5_mDyQXQ6Z","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",104.498,107.10642,"{""Sniff_Location_Subject"":""0""}"
"5_2Ag8Op9k","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",107.106,113.12726,"{""Sniff_Location_Subject"":""6""}"
"5_NlCl8IUd","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",127.23142,133.21059,"{""Sniff_Location_Subject"":""1""}"
"5_x1llj2TF","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",138.21059,140.41892,"{""Sniff_Location_Subject"":""1""}"
"6_f0PKnhd1","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",5.58559,6.46059,"{""Sniff_Location_Subject"":""8""}"
"6_wXKEq0pH","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",6.461,10.54392,"{""Sniff_Location_Subject"":""1""}"
"6_GwSvBeyo","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",11.83559,14.58559,"{""Sniff_Location_Subject"":""1""}"
"6_tRsdaXGk","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",14.586,15.93976,"{""Sniff_Location_Subject"":""8""}"
"6_XfXeGniI","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",15.94,22.89809,"{""Sniff_Location_Subject"":""2""}"
"6_PxKJQT7R","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",22.898,25.00226,"{""Sniff_Location_Subject"":""0""}"
"6_GfEnmPln","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",25.002,25.58559,"{""Sniff_Location_Subject"":""8""}"
"6_Esopi6e1","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",25.586,26.33559,"{""Sniff_Location_Subject"":""3""}"
"6_dPXiugcH","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",26.336,28.21059,"{""Sniff_Location_Subject"":""2""}"
"6_e7Uoj9Hk","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",28.211,33.08559,"{""Sniff_Location_Subject"":""8""}"
"6_EYf4WpRr","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",33.086,34.89809,"{""Sniff_Location_Subject"":""1""}"
"6_rC1sLkTM","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",34.898,39.43976,"{""Sniff_Location_Subject"":""8""}"
"6_IdhiexyO","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",46.398,47.77309,"{""Sniff_Location_Subject"":""6""}"
"7_9pMg3KuR","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",10.39809,11.83559,"{""Sniff_Location_Subject"":""1""}"
"7_ue39wz2k","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",11.836,16.68976,"{""Sniff_Location_Subject"":""0""}"
"7_aJj5ZWEJ","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",16.69,18.41892,"{""Sniff_Location_Subject"":""2""}"
"7_blyybZib","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",18.419,19.419,"{""Sniff_Location_Subject"":""3""}"
"7_WPBvO06q","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",19.419,20.87726,"{""Sniff_Location_Subject"":""6""}"
"7_UdAV3laX","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",27.68976,29.35642,"{""Sniff_Location_Subject"":""2""}"
"7_mfUXmGnk","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",29.356,32.46059,"{""Sniff_Location_Subject"":""0""}"
"7_8jXv9KDW","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",32.461,33.48142,"{""Sniff_Location_Subject"":""1""}"
"7_F4GHskCr","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",33.481,34.52309,"{""Sniff_Location_Subject"":""6""}"
"7_JXFuDEWv","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",37.91892,42.83559,"{""Sniff_Location_Subject"":""0""}"
"7_cD7K9fhS","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",42.836,45.58559,"{""Sniff_Location_Subject"":""1""}"
"7_VrEXxU62","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",45.586,46.21059,"{""Sniff_Location_Subject"":""3""}"
"7_0vCAkOBl","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",50.39809,53.06476,"{""Sniff_Location_Subject"":""0""}"
"7_eLudvgXy","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",76.89809,79.00226,"{""Sniff_Location_Subject"":""0""}"
"8_KjJPr1M3","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",12.25226,14.00226,"{""Sniff_Location_Subject"":""0""}"
"8_iBamBXvh","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",14.002,20.10642,"{""Sniff_Location_Subject"":""6""}"
"8_2WsO70jx","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",20.106,22.66892,"{""Sniff_Location_Subject"":""0""}"
"8_b11KSV0s","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",22.669,28.04392,"{""Sniff_Location_Subject"":""6""}"
"8_apXt3vz8","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",29.801,30.73142,"{""Sniff_Location_Subject"":""0""}"
"8_jKI0XTLD","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",32.02309,33.33559,"{""Sniff_Location_Subject"":""8""}"
"8_VLZXEzQO","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",33.336,41.87726,"{""Sniff_Location_Subject"":""2""}"
"8_dhmv7o3M","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",41.877,44.98142,"{""Sniff_Location_Subject"":""1""}"
"8_CPR8SzAI","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",44.981,47.62726,"{""Sniff_Location_Subject"":""0""}"
"8_Tdixjw87","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",49.455,52.52309,"{""Sniff_Location_Subject"":""2""}"
"9_Xyd6TrQM","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",9.27309,12.04392,"{""Sniff_Location_Subject"":""0""}"
"9_0ielFUlW","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",13.66892,14.58559,"{""Sniff_Location_Subject"":""2""}"
"9_pBWZ06wm","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",14.586,17.02309,"{""Sniff_Location_Subject"":""0""}"
"9_KglulDaJ","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",17.023,18.62726,"{""Sniff_Location_Subject"":""6""}"
"9_yoRie78V","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",27.50226,29.33559,"{""Sniff_Location_Subject"":""1""}"
"9_Atv8PvFX","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",29.336,32.21059,"{""Sniff_Location_Subject"":""2""}"
"9_oZUqCR3y","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",35.06476,37.14809,"{""Sniff_Location_Subject"":""8""}"
"9_tjvDz99P","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",73.93976,77.96059,"{""Sniff_Location_Subject"":""8""}"
"10_QODd8j1P","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",11.00226,12.767,"{""Sniff_Location_Subject"":""8""}"
"10_DCUfnCLv","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",12.767,13.58559,"{""Sniff_Location_Subject"":""0""}"
"10_S14v7aXP","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",18.58559,24.46059,"{""Sniff_Location_Subject"":""0""}"
"10_mJEPlUzO","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",16.002,16.68976,"{""Sniff_Location_Subject"":""2""}"
"10_WgNdxYTb","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",49.33559,54.58559,"{""Sniff_Location_Subject"":""1""}"
"10_Jojwsqt1","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",96.948,103.23142,"{""Sniff_Location_Subject"":""1""}"
"11_6A7hs5oR","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",13.77309,14.89809,"{""Sniff_Location_Subject"":""1""}"
"11_lh2PZH8B","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",14.898,16.33559,"{""Sniff_Location_Subject"":""0""}"
"11_mjv2Newu","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",16.336,25.00226,"{""Sniff_Location_Subject"":""1""}"
"11_6wAT2HKk","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",25.002,25.75226,"{""Sniff_Location_Subject"":""2""}"
"11_wCRWkVLL","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",25.752,28.29392,"{""Sniff_Location_Subject"":""6""}"
"11_lTyLVLgV","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",28.294,28.77309,"{""Sniff_Location_Subject"":""8""}"
"11_sznZXjjJ","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",28.773,31.23142,"{""Sniff_Location_Subject"":""1""}"
"11_MpmjoD3o","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",31.231,33.58559,"{""Sniff_Location_Subject"":""3""}"
"11_74EsdNGI","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",35.668,38.48142,"{""Sniff_Location_Subject"":""3""}"
"11_E0ZSIMgr","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",38.481,40.60642,"{""Sniff_Location_Subject"":""6""}"
"11_1hMaLLzr","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",42.586,43.586,"{""Sniff_Location_Subject"":""8""}"
"11_aHZFQr6Q","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",43.586,52.81476,"{""Sniff_Location_Subject"":""1""}"
"11_FEIjmufG","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",52.815,56.39809,"{""Sniff_Location_Subject"":""2""}"
"11_iZ6b0DkG","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",56.398,59.31476,"{""Sniff_Location_Subject"":""1""}"
"11_VKlImGoO","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",59.315,60.68976,"{""Sniff_Location_Subject"":""3""}"
"11_NMFF2MxC","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",60.69,64.04392,"{""Sniff_Location_Subject"":""6""}"
"11_o3s6WCZ3","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",64.044,65.044,"{""Sniff_Location_Subject"":""8""}"
"11_byeAxNPr","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",65.044,66.02309,"{""Sniff_Location_Subject"":""1""}"
"11_5xqKcGtf","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",66.023,72.21059,"{""Sniff_Location_Subject"":""6""}"
"11_d5LJIxrb","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",72.211,80.64809,"{""Sniff_Location_Subject"":""2""}"
